text,label
"Beautiful restaurant, with a friendly staff. Extensive selection of wine, and reasonably priced beer. I'm a big fan of the happy hour specials.\n\nThe bruschetta is delicious. My personal favorite is red bell peppers with goat cheese. I really like that you can pick for different toppings for a single serving - it's a great way to sample all the different types of bruschetta. The bellinis are also really good if you're not in a beer or wine mood.\n\nI really need to go back and try more of the menu. Can't wait!",1
"We stopped here last night and glad we did.  The choice of four bruschetta was awesome loved them all white bean, artichoke, burrata and mozzarella. My glass of Manifesto Zin was really good as well.  A nicely appointed restaurant that I would frequent more given the chance.",1
You must get the Brushetta and order the roasted bell peppers and goat cheese! One of the best! It is usually pretty crowded and can be kind of noisy but if you know that going in ask to sit on the patio!,1
"I have only gone to Postino during the Monday/Tuesday $20 nights where you get a bottle of wine and choice of 3 bruschettas for the cheap price of $20.  I always order a bottle of moscato d'asti and a trio of Brie & Apples with fig, Prosciutto with figs & mascarpone and Fresh Mozzarella with tomato and basil.  I usually go with a few of my girlfriends and this makes a great meal with fantastic wine and some good gossip. :)  Come early as seats fill up extremely quickly and the wait can get very long.  This deal starts after 8pm.",1
"I try to like you Postinos, I really do but you make it so hard.  Came on a Tuesday for their 8 PM $20 Bottle of wine and bruschetta special and left disappointed and annoyed.\n\nThe parking lot disaster strikes again!  LGO now put up signs saying 25 min parking for LGO customers only and has a lot monkey stationed to chase away people trying to park in those spaces.  I was told by the lot monkey that I could valet ($3 charge) or I could park 3 blocks away if I didn't want to pay the fee.  Keep in mind this is a Tuesday and I have to pay to park my car because the restaurant blocks off all the spaces.\n\nOnce seated my friend and I tried to catch up for a moment when the server came over to take our drink orders.  Since we had just sat down we asked for some time to take a look at the menu.  Our server came back a few minutes later and asked if we were ready to order.  No suggestions on a wine, no questions if we had questions, just \""""you ready to order?\""""\n\nWe ordered a bottle and bruschetta and our waiter disappeared.  For the rest of the night.  I watched him refill wine glasses at other tables, ours was brought by another server.  Other tables had their plates cleared when they were finished, ours sat in front of us until another server took them away.  Our server obviously didn't want our business because about an hour after we sat down he came back to the table and asked if we were interested in any dessert.  We said no and he immediately dropped the check on the table and left.  No offer of another round of drinks, just here is your check.\n\nThe wine we had was amazing and was a steal at the price plus the bruschetta.  The bruschetta themselves were half assed.  3 of the 4 weren't even sliced all the way through but over all they were decent.\n\nYet again Postinos shows they want my money but not my patronage.  I don't understand how I am the only one who keeps having horrible experiences here?",0
"I totally 100% agree w Serianna T.\n\nI have felt the same way about the seating, and parking and mediocre foods... Postino and LGO are complete cluster F***s for anyone who plans on driving there. I also feel like the general atmosphere is trying so hard to be relaxed and casual that it is stressful for the guests.",0
I liked it. The food was pretty good and the wine and beer selections were great.  It's definitely more of a happy hour spot for me though.,1
"Wow, looks like this makes review #700 for Postino's! I'm sure by now you all have heard of the great Monday night deal which includes a bottle of wine and their yummy bruschetta, and it doesn't really matter what kind of bruschetta you get, because its all delicious so they are all good choices. Other than the good monday night deal, this is simply just an overall cool little quaint spot to spend a couple hours, especially great for a date. It's dark, and intimate, nice baby-making music playing in the background... \n\nNot too many drawbacks I can think of other than parking being limited, and since it is a fairly small location, it can get crowded quick. Oh, and I must confess I did find it just a smidgen on the hipster side, but not enough to keep me away thats for sure.",1
"So cute, I love this place! My profile picture was actually taken there. Very great patio, we held a post graduation party with about 20 people and it was perfect. One person in our party unrolled her napking to find a coupon for a free dinner in the napkin, what a great idea! Very fun atmosphere.",1
Super good time!,1
